epoch,learning_rate,train_ADE_world,train_FDE_world,valid_ADE_world,valid_FDE_world,goal_BCE_loss,traj_MSE_loss
1,9.900000000000001e-05,0.16468813433151622,0.27507035799527446,0,0,0.7134270521917232,0.08693364012174686
2,9.801e-05,0.1680314480807841,0.2731667445965314,0,0,0.7134256819806674,0.09869088449221873
3,9.70299e-05,0.1703299309338572,0.2766347336745911,0,0,0.7134246480604091,0.10503287748741674
4,9.605960100000001e-05,0.17164330916514028,0.2749053741359525,0,0,0.7134258800443508,0.10532972897884911
5,9.509900499000001e-05,0.16933359241803544,0.274031662001684,0,0,0.7134257991026348,0.09854819744296285
6,9.414801494010001e-05,0.16846878185498299,0.2720411622222759,0,0,0.7134263174543121,0.10032331114562396
7,9.320653479069902e-05,0.17141743935919354,0.27826083953046615,0,0,0.7134267734182484,0.10200847400142177
8,9.227446944279203e-05,0.16946341407795748,0.27720524434449606,0,0,0.7134273873228971,0.10101806380014128
9,9.13517247483641e-05,0.17260112821132736,0.27274310554047965,0,0,0.7134258095392457,0.10456170007977852
10,9.043820750088047e-05,0.17079361661125778,0.2719147732401636,0,0,0.7134263573453584,0.10133458762012915
11,8.953382542587167e-05,0.16825933239148927,0.2746039378503881,0,0,0.7134262281633073,0.09917763033193257
12,8.863848717161295e-05,0.16874567932845802,0.27650575670286837,0,0,0.7134246793702419,0.09725519226943705
13,8.775210229989682e-05,0.1686765282252765,0.27560355285262317,0,0,0.713427747733862,0.0967881650852351
14,8.687458127689785e-05,0.16645974207178652,0.2817539834210845,0,0,0.7134241531331251,0.09226981884028024
15,8.600583546412887e-05,0.17114836889829196,0.2757454985310595,0,0,0.713426067207574,0.10026761217057299
16,8.514577710948758e-05,0.16843836397141393,0.27407968606698374,0,0,0.7134246911984009,0.09184841846808037
17,8.429431933839271e-05,0.1741488554360182,0.2755631986527127,0,0,0.7134282384865015,0.11278240707365919
18,8.345137614500879e-05,0.172233424121981,0.27264350142460386,0,0,0.7134251766167726,0.10896500187530998
19,8.26168623835587e-05,0.17069416719643563,0.27255994533750333,0,0,0.7134245467093204,0.10211213216808868
20,8.17906937597231e-05,0.16975398764706554,0.27381691127899555,0,0,0.7134274638580441,0.09663992012753098
21,8.097278682212587e-05,0.1694032774327896,0.2686569088279969,0,0,0.7134265222438114,0.09869230161729026
22,8.016305895390461e-05,0.1651155714013393,0.2720023028349598,0,0,0.7134248043776487,0.09237169029901406
23,7.936142836436556e-05,0.17037825618257915,0.27584563691444436,0,0,0.7134263900467394,0.10103251493865704
24,7.856781408072191e-05,0.17028154407040882,0.2745655305712603,0,0,0.7134264208927229,0.10308577379769852
25,7.778213593991469e-05,0.17139105326628848,0.27383426985620063,0,0,0.7134261787633488,0.10332165248800751
26,7.700431458051554e-05,0.16774528059236624,0.2732741525432943,0,0,0.713424878361624,0.09946928981053806
27,7.623427143471038e-05,0.17073063448624595,0.27543407336515213,0,0,0.7134262764036423,0.10457830164030717
28,7.547192872036328e-05,0.1698448815133016,0.26972173771853575,0,0,0.713427341401809,0.09988765331557753
29,7.471720943315964e-05,0.16984656795258601,0.276499745041016,0,0,0.7134238133634575,0.09945689879198366
30,7.397003733882805e-05,0.16973415834072797,0.2783171380888163,0,0,0.713425703085814,0.10087772398455076
31,7.323033696543977e-05,0.16724107496627225,0.27360057830810547,0,0,0.7134266254502976,0.09543182033182988
32,7.249803359578537e-05,0.16666089968468295,0.2751615719456617,0,0,0.7134250852384456,0.09295948614920797
33,7.177305325982752e-05,0.16934282617458493,0.27394058355329565,0,0,0.7134259050922171,0.10010063712003166
34,7.105532272722923e-05,0.16924109987844965,0.27422485839763966,0,0,0.7134272168582515,0.10063336311625716
35,7.034476949995695e-05,0.16793065753581338,0.2772347572828545,0,0,0.713423769065842,0.09594516583323363
36,6.964132180495738e-05,0.17044720463381463,0.27188507945852985,0,0,0.7134270438424344,0.10527743798126159
37,6.89449085869078e-05,0.1737290317157875,0.28345724517037435,0,0,0.7134250824553493,0.10933956746664261
38,6.825545950103872e-05,0.16902059724695445,0.27475984180019986,0,0,0.7134275218392161,0.09813775578042644
39,6.757290490602833e-05,0.16809851651225557,0.2762423603567168,0,0,0.7134271962169544,0.09559892729134933
40,6.689717585696805e-05,0.16988494552144434,0.2733313038307405,0,0,0.7134257875064004,0.09870496698100743
41,6.622820409839837e-05,0.1664530206865456,0.27482254513274834,0,0,0.7134259858020084,0.09810642655648957
42,6.556592205741439e-05,0.16343324668174325,0.26954223447504677,0,0,0.7134248688527118,0.08685258062599872
43,6.491026283684025e-05,0.16674504052085715,0.2700946208104085,0,0,0.7134270276077063,0.09424052356311087
44,6.426116020847184e-05,0.17119590348070496,0.27579182328417146,0,0,0.713426035897741,0.10570230941262806
45,6.361854860638712e-05,0.16734097607254309,0.27459492056054363,0,0,0.7134248463560171,0.09393989099080924
